lectura_id,sensor_id,timestamp,zona,temperatura_c,humedad_pct,presion_hpa,viento_kmh,lluvia_mm,fecha,hora,dia_semana,sensacion_termica
1,CLM-009,2024-03-03 09:55:00,Centro,13.7,34.6,1007.7,8.1,1.62,2024-03-03,09:55:00,6,12.73208
2,CLM-010,2024-03-05 22:26:00,Centro,22.5,70.4,1020.3,7.4,1.17,2024-03-05,22:26:00,1,21.02
3,CLM-022,2024-03-01 05:53:00,Centro,17.7,76.8,999.6,27.9,0.44,2024-03-01,05:53:00,4,16.98544
5,CLM-006,2024-03-01 19:21:00,Oeste,26.1,55.7,1005.2,18.5,1.82,2024-03-01,19:21:00,4,23.24708
6,CLM-021,2024-03-03 19:59:00,Sur,21.2,40.5,1013.1,34.7,0.09,2024-03-03,19:59:00,6,18.534399999999998
7,CLM-008,2024-03-05 14:03:00,Puerto,26.1,47.9,1028.5,17.4,1.07,2024-03-05,14:03:00,1,22.74476
9,CLM-005,2024-03-05 18:26:00,Este,26.9,49.8,1014.2,22.1,2.41,2024-03-05,18:26:00,1,23.50648
10,CLM-008,2024-03-03 12:46:00,Aeropuerto,11.7,38.9,1020.2,17.1,0.03,2024-03-03,12:46:00,6,11.284519999999999
11,CLM-021,2024-03-04 15:15:00,Norte,13.3,75.1,1015.8,18.8,0.36,2024-03-04,15:15:00,0,12.97132
12,CLM-024,2024-03-02 10:38:00,Oeste,10.4,33.4,1010.4,10.5,0.63,2024-03-02,10:38:00,5,10.29344
14,CLM-005,2024-03-05 04:05:00,Puerto,19.9,41.7,1005.3,19.7,1.27,2024-03-05,04:05:00,1,17.59132
15,CLM-003,2024-03-03 08:27:00,Sur,23.5,62.9,1003.8,8.7,0.1,2024-03-03,08:27:00,6,21.4966
16,CLM-018,2024-03-05 04:31:00,Puerto,19.9,48.3,1011.2,9.2,0.02,2024-03-05,04:31:00,1,17.85268
17,CLM-007,2024-03-05 22:32:00,Sur,18.8,54.1,1007.5,14.9,0.09,2024-03-05,22:32:00,1,17.18432
18,CLM-024,2024-03-02 10:18:00,Este,30.9,62.8,1012.1,8.7,1.06,2024-03-02,10:18:00,5,27.79008
19,CLM-010,2024-03-05 07:45:00,Oeste,21.6,38.0,1007.5,20.8,0.94,2024-03-05,07:45:00,1,18.723200000000002
20,CLM-001,2024-03-05 13:39:00,Puerto,17.8,38.5,1014.3,26.0,0.55,2024-03-05,13:39:00,1,15.8812
21,CLM-014,2024-01-03 08:15:00,Aeropuerto,12.1,84.9,1020.7,12.1,1.59,2024-01-03,08:15:00,2,11.97316
22,CLM-005,2024-03-02 03:43:00,Aeropuerto,25.1,55.5,1012.4,6.1,0.07,2024-03-02,03:43:00,5,22.412200000000002
23,CLM-022,2024-03-05 00:18:00,Sur,23.7,55.6,1023.6,17.5,0.2,2024-03-05,00:18:00,1,21.26688
24,CLM-020,2024-03-05 20:33:00,Este,11.5,82.1,1018.2,8.6,4.02,2024-03-05,20:33:00,1,11.3926
25,CLM-001,2024-03-04 14:05:00,Oeste,17.1,89.2,1009.2,32.7,0.66,2024-03-04,14:05:00,0,16.793280000000003
26,CLM-009,2024-03-03 03:10:00,Centro,19.4,83.9,1023.0,27.9,0.39,2024-03-03,03:10:00,6,18.794639999999998
27,CLM-005,2024-03-03 23:02:00,Sur,20.1,76.4,1006.1,17.8,0.37,2024-03-03,23:02:00,6,19.14656
28,CLM-003,2024-03-05 01:49:00,Este,16.3,36.5,1000.1,17.3,4.08,2024-03-05,01:49:00,1,14.6998
29,CLM-009,2024-03-04 17:40:00,Aeropuerto,26.4,89.4,1013.5,1.9,0.93,2024-03-04,17:40:00,0,25.704639999999998
30,CLM-015,2024-03-01 18:42:00,Sur,8.3,67.6,1014.2,0.0,1.2,2024-03-01,18:42:00,4,8.52032
